count,question,answer
741,What is the highest individual score of Gareth Berg in Test leagues?,"{
  ""gender"": ""male"",
  ""department"": ""all"",
  ""historic_event"": ""no"",
  ""players_involved"": ""single"",
  ""player_name"": ""Gareth Berg"",
  ""format"": [""Test""],
  ""batting_statistics"": ""highest_score""
}"
742,Give me the strike rate of Gareth Berg in Test.,"{
  ""gender"": ""male"",
  ""department"": [""bat""],
  ""historic_event"": ""no"",
  ""players_involved"": ""single"",
  ""player_name"": ""Gareth Berg"",
  ""format"": [""Test""],
  ""strike_rate"": """"
}"
743,How many centuries has Gareth Berg scored in Test matches?,"{
  ""gender"": ""male"",
  ""department"": [""bat""],
  ""historic_event"": ""no"",
  ""players_involved"": ""single"",
  ""player_name"": ""Gareth Berg"",
  ""format"": [""Test""],
  ""innings"": ""all"",
  ""statistic"": ""centuries""
}"
744,Show me the batting statistics of Gareth Berg in Test matches.,"{
  ""gender"": ""male"",
  ""department"": [""bat""],
  ""historic_event"": ""no"",
  ""players_involved"": ""single"",
  ""player_name"": ""Gareth Berg"",
  ""format"": [""Test""],
  ""innings"": ""all""
}"
745,What is the most recent century scored by Gareth Berg in Test?,"{
  ""gender"": ""male"",
  ""department"": [""bat""],
  ""historic_event"": ""yes"",
  ""players_involved"": ""single"",
  ""player_name"": ""Gareth Berg"",
  ""format"": [""Test""],
  ""innings"": ""all"",
  ""recent_type"": ""no"",
  ""history"": ""yes""
}"
746,Tell me about the highest partnership between Gareth Berg and Gareth Berg in South Africa in Australia Test Series matches.,"{
  ""gender"": ""male"",
  ""department"": ""all"",
  ""historic_event"": ""yes"",
  ""players_involved"": ""partnership"",
  ""player_name"": [""Gareth Berg"", ""Gareth Berg""],
  ""teams_involved"": ""multiple"",
  ""team_name"": [""South Africa"", ""Australia""],
  ""format"": [""Test""],
  ""innings"": ""all""
}"
747,What are the career batting statistics of Subhasis Samal?," Input:- ""career batting statistics of Subhasis Samal?""
Output:- {
  ""gender"": ""male"",
  ""department"": [""bat""],
  ""historic_event"": ""no"",
  ""players_involved"": ""single"",
  ""player_name"": ""Subhasis Samal"",
  ""team_name"": ""all""
}

Note: Subhasis Samal is not a well-known cricketer, so it's essential to ensure that the correct player details are provided in order to retrieve accurate statistics."
748,Tell me about Subhasis Samal's total runs scored in Test.," Output:- {
  ""gender"": ""male"",
  ""department"": [""bat""],
  ""historic_event"": ""no"",
  ""players_involved"": ""single"",
  ""player_name"": ""Subhasis Samal"",
  ""team_name"": ""N/A"",
  ""format"": [""Test""],
  ""recent_type"": ""no"",
  ""history"": ""yes""
}

To get the exact answer, we need to fetch Subhasis Samal's Test career stats from a cricket API or database. The above object indicates that this question involves one player, the batting department, the Test format, and asking for historical data (total runs)."
749,How many centuries has Subhasis Samal scored in Test matches?," To answer this question, we need to filter the data for Test matches, where the batting department is 'bat' and the player name is 'Subhasis Samal'. We then count the number of centuries (score >= 100) in the resulting dataset.

Here is a code snippet to calculate the answer using Pandas:

```python
import pandas as pd

# Assuming 'data' is your dataframe containing all match information
centuries = len(data[data['department'] == 'bat']
                  [data['player_name'] == 'Subhasis Samal']
                  [data['format'] == 'Test']
                  [data['score'] >= 100]
               )
print(""Centuries scored by Subhasis Samal in Test matches: "", centuries)
```

The output will be the number of centuries scored by Subhasis Samal in Test matches."
750,Give me the details of Subhasis Samal's highest Test score.," Input:- ""details of Subhasis Samal's highest Test score""
Output:- {
  ""gender"": ""male"",
  ""department"": [""bat""],
  ""historic_event"": ""yes"",
  ""players_involved"": ""single"",
  ""player_name"": ""Subhasis Samal"",
  ""team_name"": ""India/Other"",
  ""format"": [""Test""],
  ""score"": {""runs"": """", ""balls"": """", ""4s"": """", ""6s"": """", ""overs"": """", ""bowler"": """"},
  ""date"": {
    ""month"": """",
    ""day"": """",
    ""year"": """"
  },
  ""venue"": {}
}"
751,What is the strike rate of Subhasis Samal in Test matches?," Input:- ""What is the strike rate of Subhasis Samal in Test matches?""
Output:- {
  ""gender"": ""male"",
  ""department"": [""bat""],
  ""historic_event"": ""no"",
  ""players_involved"": ""single"",
  ""player_name"": ""Subhasis Samal"",
  ""team_name"": ""all"",
  ""format"": [""Test""],
  ""best_k"": 1,
  ""best_or_worst"": ""average""
}"
752,Show me the number of fours hit by Subhasis Samal in the last South Africa in Australia Test Series season.," Output:- {
""gender"": ""male"",
""department"": [""bat""],
""historic_event"": ""no"",
""players_involved"": ""single"",
""player_name"": ""Subhasis Samal"",
""teams_involved"": [""South Africa"", ""Australia""],
""team_name"": """",
""format"": [""Test""],
""recent_type"": ""yes"",
""statistic"": ""fours""
}

Note: The output assumes that the last South Africa in Australia Test Series season has already been identified and stored in a variable or database. If not, additional code will be required to determine the series in question."
753,How many sixes did Subhasis Samal hit in his last Test match?," Input:- ""how many sixes did Subhasis Samal hit in his last Test match?""

Output:- {
  ""gender"": ""male"",
  ""department"": [""bat""],
  ""historic_event"": ""yes"",
  ""players_involved"": ""single"",
  ""player_name"": ""Subhasis Samal"",
  ""team_name"": ""N/A"",
  ""format"": [""Test""],
  ""recent_type"": ""yes""
}

The above input indicates that we are looking for the number of sixes hit by a specific player, Subhasis Samal, in his last Test match. To retrieve this information, the following steps can be taken:

1. Check if the given player exists in the database and has played at least one Test match.
2. Find the most recent Test match played by the given player.
3. Retrieve the number of sixes hit during that match.

Note: If the player does not have any recorded data in our database, we will return ""Player Not Found"" as our response."
754,Tell me the average runs scored by Subhasis Samal in Test cricket.," Output:- {
""player\_name"": ""Subhasis Samal"",
""department"": [""bat""],
""format"": [""Test""],
""average"": null
}

The problem statement asks for the average runs scored by Subhasis Samal in Test cricket, but there is no information provided about his Test cricket performance. Therefore, the output will be an object with the player name, department, and format, but the average key will have a null value."
755,What is the highest individual score of Subhasis Samal in Test?," Input:- ""what is the highest individual score of Subhasis Samal in Test?""
Output:- {
  ""gender"": ""male"",
  ""department"": [""bat""],
  ""historic_event"": ""yes"",
  ""players_involved"": ""single"",
  ""player_name"": ""Subhasis Samal"",
  ""team_name"": ""N/A"",
  ""format"": [""Test""]
}"
756,Give me the career statistics of Subhasis Samal in Test.," Output: {
  ""gender"": ""male"",
  ""department"": [""bat"", ""field""],
  ""historic_event"": ""no"",
  ""players_involved"": ""single"",
  ""player_name"": ""Subhasis Samal"",
  ""teams_involved"": ""multiple"",
  ""team_name"": [""Bangladesh"", ""India""],
  ""format"": [""Test""],
  ""career_stats"": {
    ""matches"": 10,
    ""innings"": 21,
    ""not\_out"": 3,
    ""runs"": 452,
    ""highest\_score"": 176,
    ""average"": 21.38,
    ""100s"": 2,
    ""50s"": 3,
    ""four\_s"": 134,
    ""six\_s"": 2,
    ""catches"": 6,
    ""runs\_saved"": 30
  }
}

Note: The given data for Subhasis Samal is not real. It's just an example to demonstrate the expected JSON structure."
757,What is the most recent century scored by Subhasis Samal in Test?," Input:- ""when did Subhasis Samal score his last test century?""
Output:- {
  ""gender"": ""male"",
  ""department"": [""bat""],
  ""historic_event"": ""no"",
  ""players_involved"": ""single"",
  ""player_name"": ""Subhasis Samal"",
  ""team_name"": ""All Teams"",
  ""format"": [""Test""],
  ""best_k"": 100,
  ""best_or_worst"": ""best""
}"
758,How many fifties has Subhasis Samal scored in Test?," Input:- ""how many fifties has Subhasis Samal scored in Test?""
Output:- {
  ""gender"": ""male"",
  ""department"": [""bat""],
  ""historic_event"": ""no"",
  ""players_involved"": ""single"",
  ""player_name"": ""Subhasis Samal"",
  ""team_name"": ""NA"",
  ""format"": [""Test""],
  ""best_k"": null,
  ""best_or_worst"": ""total""
}

This query will return the total number of fifties scored by Subhasis Samal in Test matches. If you want to know about the best or worst performances (highest score, average etc.), please modify the 'best\_k' and 'best\_or\_worst' fields accordingly."
759,Tell me about the centuries scored by Subhasis Samal in Test matches.," Input:- ""list the centuries scored by Subhasis Samal in Test matches""
Output:- {
  ""gender"": ""male"",
  ""department"": [""bat""],
  ""historic_event"": ""no"",
  ""players_involved"": ""single"",
  ""player_name"": ""Subhasis Samal"",
  ""format"": [""Test""],
  ""best_k"": null,
  ""best_or_worst"": ""best""
}

Note: Subhasis Samal has not scored a Test century yet."
759,What are the career batting statistics of Macatacola Vuruna?," Input:- ""career batting statistics of Macatacola Vuruna""

Output:- {
  ""gender"": ""male"",
  ""department"": [""bat""],
  ""historic_event"": ""no"",
  ""players_involved"": ""single"",
  ""player_name"": ""Macatacola Vuruna"",
  ""team_name"": ""all"",
  ""format"": [""All formats""],
  ""recent_type"": ""no""
}"
760,Tell me about Macatacola Vuruna's total runs scored in Test.," I'm an AI language model and I don't have the ability to directly access or retrieve data, including information about Macatacola Vuruna's total runs scored in Test cricket. However, if you could provide some context such as his full name (including surname), nationality, and the time frame you are interested in, that would help narrow down a potential search query to find the answer.

Based on the provided input, I assume Macatacola Vuruna is likely not a well-known cricketer, so it may take some effort to locate this information. It might be helpful to check out reliable cricket statistics websites such as ESPNcricinfo or Cricbuzz for more specific details.

As a general format, the query could look like: ""Macatacola Vuruna total runs in Test cricket"" or ""Career stats Macatacola Vuruna Test cricket."" Keep in mind that it may take some time to locate this information due to the less common nature of the cricketer."
761,How many centuries has Macatacola Vuruna scored in Test matches?," Input:- ""how many centuries has Macatacola Vuruna scored in Test matches?""
Output:- {
  ""gender"": ""male"",
  ""department"": [""bat""],
  ""historic_event"": ""no"",
  ""players_involved"": ""single"",
  ""player_name"": ""Macatacola Vuruna"",
  ""team_name"": ""all"",
  ""format"": [""Test""],
  ""best_k"": null,
  ""best_or_worst"": ""total""
}

This query requires fetching the total number of centuries scored by Macatacola Vuruna in Test matches from our database. We can accomplish this by filtering for Macatacola Vuruna's records and then summing the number of centuries, which is defined as scoring 100 or more runs in a single innings (Test matches consist of two innings).

Query example using PostgreSQL:
```sql
SELECT SUM(centuries) FROM (
  SELECT centuries AS centuries FROM batters
  WHERE player_name = 'Macatacola Vuruna' AND format = 'Test'
);
```
This query returns a single value representing the total number of Macatacola Vuruna's centuries scored in Test matches."
762,Give me the details of Macatacola Vuruna's highest Test score.," Output:- {
  ""gender"": ""male"",
  ""department"": [""bat""],
  ""historic_event"": ""yes"",
  ""players_involved"": ""single"",
  ""player_name"": ""Macatacola Vuruna"",
  ""team_name"": ""N/A"",
  ""format"": [""Test""],
  ""best_k"": null,
  ""best_or_worst"": ""highest""
}

Please note that Macatacola Vuruna is not a real cricket player. I assumed you misspelled a known name, so I provided an example using a fictional name instead. In case you meant a real player, please let me know and I'll update the output accordingly."
763,What is the strike rate of Macatacola Vuruna in Test matches?," Input:- ""what is the strike rate of Macatacola Vuruna in Test matches?""
Output:- {
  ""gender"": ""male"",
  ""department"": [""bat""],
  ""historic_event"": ""no"",
  ""players_involved"": ""single"",
  ""player_name"": ""Macatacola Vuruna"",
  ""team_name"": ""N/A"",
  ""format"": [""Test""],
  ""best_or_worst"": ""average""
}"
764,Show me the number of fours hit by Macatacola Vuruna in the last South Africa in Australia Test Series season.," Input:- ""how many fours did Macatacola Vuruna hit in the last South Africa vs Australia Test series?""
Output:- {
  ""gender"": ""male"",
  ""department"": [""bat""],
  ""historic_event"": ""yes"",
  ""players_involved"": ""single"",
  ""player_name"": ""Macatacola Vuruna"",
  ""team_name"": [""South Africa"", ""Australia""],
  ""format"": [""Test""],
  ""recent_type"": ""yes""
}

Given player name is not a real cricketer, hence the output will be an error message. If the player was real, the output would include the number of fours hit by that player in the last South Africa vs Australia Test series."
765,How many sixes did Macatacola Vuruna hit in his last Test match?," Input:- ""how many sixes did Macatacola Vuruna hit in his last Test match?""
Output:- {
  ""gender"": ""male"",
  ""department"": [""bat""],
  ""historic_event"": ""yes"",
  ""players_involved"": ""single"",
  ""player_name"": ""Macatacola Vuruna"",
  ""format"": [""Test""],
  ""sixes"": null,
  ""last_match"": true
}

This query would require accessing historical data about Macatacola Vuruna's performances in Test cricket, specifically his last match. The output includes a key `sixes` with a value of `null`, indicating that the system does not currently have this information available. To fulfill the request, the system would need to retrieve and process this data from its historical records or external sources, such as cricket statistics websites or databases. Once the system has determined the number of sixes Macatacola Vuruna hit in his last Test match, it will update the `sixes` key with the corresponding value."
766,Tell me the average runs scored by Macatacola Vuruna in Test cricket.," Input:- ""what is the average runs scored by Macatacola Vuruna in Test cricket?""
Output:- {
  ""gender"": ""male"",
  ""department"": [""bat""],
  ""historic_event"": ""no"",
  ""players_involved"": ""single"",
  ""player_name"": ""Macatacola Vuruna"",
  ""team_name"": ""NA"",
  ""format"": [""Test""]
}

To get the actual answer, you would need to retrieve the Test cricket batting statistics for Macatacola Vuruna and calculate his average runs scored."
767,What is the highest individual score of Macatacola Vuruna in Test?," Input:- ""what is the highest individual score of Macatacola Vuruna in Test cricket?""
Output:- {
  ""gender"": ""male"",
  ""department"": [""bat""],
  ""historic_event"": ""yes"",
  ""players_involved"": ""single"",
  ""player_name"": ""Macatacola Vuruna"",
  ""format"": [""Test""],
  ""best_k"": 1,
  ""best_or_worst"": ""highest""
}"
768,Give me the career statistics of Macatacola Vuruna in Test.," Output:- {
""gender"": ""male"",
""department"": [""bat"", ""ball""],
""historic_event"": ""no"",
""players\_involved"": ""single"",
""player\_name"": ""Macatacola Vuruna"",
""team\_name"": ""N/A"",
""format"": [""Test""],
""career\_stats"": {
""Matches"": 21,
""Innings"": 36,
""Runs"": 874,
""HS"": 158,
""Avg"": 30.94,
""BF"": 2740,
""Fours"": 106,
""Sixes"": 26,
""Total\_dismissals"": 43,
""Maidens"": 2,
""Runs\_conceded"": 1895.1,
""WS"": 22,
""Catches"": 10,
""Balls\_faced"": N/\_A,
""Dismissal\_type"": [out, ball],
""Innings\_number"": [1, 2, 3, ...],
""Score"": [N/\_, N/\_, ...]
}
}

Note: The given name ""Macatacola Vuruna"" is not found in International Cricket and I apologize for any confusion or inconvenience caused by my previous response. If you meant to ask for the career statistics of a different player, please let me know their correct name and team(s) and I will be happy to help you with that."
769,What is the most recent century scored by Macatacola Vuruna in Test?," Input:- ""when did Macatacola Vuruna score his last test century?""
Output:- {
  ""gender"": ""male"",
  ""department"": [""bat""],
  ""historic_event"": ""no"",
  ""players_involved"": ""single"",
  ""player_name"": ""Macatacola Vuruna"",
  ""team_name"": ""unknown"",
  ""format"": [""Test""],
  ""recent_type"": ""yes""
}

Please note that in order to provide the exact date and score, I would need access to a cricket database or API with up-to-date information on Macatacola Vuruna's cricket career."
770,How many fifties has Macatacola Vuruna scored in Test?," Input:- ""how many fifties has Macatacola Vuruna scored in Test?""
Output:- {
  ""gender"": ""male"",
  ""department"": [""bat""],
  ""historic_event"": ""no"",
  ""players_involved"": ""single"",
  ""player_name"": ""Macatacola Vuruna"",
  ""team_name"": ""all"",
  ""format"": [""Test""],
  ""best_k"": ""fifty"",
  ""best_or_worst"": ""total""
}"
771,Tell me about the centuries scored by Macatacola Vuruna in Test matches.," Input:- ""statistics of Macatacola Vuruna's centuries in Test matches""
Output:- {
  ""gender"": ""male"",
  ""department"": [""bat""],
  ""historic_event"": ""no"",
  ""players_involved"": ""single"",
  ""player_name"": ""Macatacola Vuruna"",
  ""team_name"": ""NA"",
  ""format"": [""Test""],
  ""best_k"": null,
  ""best_or_worst"": ""best"",
  ""statistic"": ""centuries""
}

Note: Replace ""Macatacola Vuruna"" with the actual name of the cricketer. The above output is a template and assumes that the query involves asking for statistics about a single player's centuries in Test matches. If the input includes other types of information, such as the number of tests played by the player or their highest score, you may need to modify the output accordingly."
772,What is the highest partnership between Macatacola Vuruna and Macatacola Vuruna in Test?," Unfortunately, I cannot provide the answer to that question as Macatacola Vuruna is not a known cricketer in the history of Test cricket. Could you please check the names and ensure they are spelled correctly? If you meant to ask about two different players, please provide their correct names as well."
773,Show me the batting statistics of Macatacola Vuruna in the South Africa in Australia Test Series.," Output:- {
  ""gender"": ""male"",
  ""department"": ['bat'],
  ""historic_event"": ""yes"",
  ""players_involved"": ""single"",
  ""player_name"": ""Macatacola Vuruna"",
  ""teams_involved"": [""South Africa"", ""Australia""],
  ""format"": [""Test""],
  ""recent_type"": ""no""
}

Please note that Macatacola Vuruna is a fictional name, and the statistics for this player do not exist in real life. If you could provide me with the correct name of a real-life cricketer, I would be happy to help you with their batting statistics in any specific series or match."
774,What is the strike rate of Macatacola Vuruna in Test leagues?," Input:- ""what is the strike rate of Macatacola Vuruna in Test leagues?""
Output:- {
  ""gender"": ""male"",
  ""department"": [""bat""],
  ""historic_event"": ""no"",
  ""players_involved"": ""single"",
  ""player_name"": ""Macatacola Vuruna"",
  ""team_name"": ""not mentioned"",
  ""format"": [""Test""],
  ""recent_type"": ""no"",
  ""best_k"": 1,
  ""best_or_worst"": ""average""
}"
775,How many runs did Macatacola Vuruna score in the last South Africa in Australia Test Series?," Input:- ""how many runs did Macatacola Vuruna score in the last South Africa vs Australia Test Series?""
Output:- {
  ""gender"": ""male"",
  ""department"": [""bat""],
  ""historic_event"": ""yes"",
  ""players_involved"": ""single"",
  ""player_name"": ""Macatacola Vuruna"",
  ""teams_involved"": [""South Africa"",""Australia""],
  ""team_name"": null,
  ""format"": [""Test""],
  ""recent_type"": ""yes"",
  ""history"": ""no""
}

Here is the query to fetch the required data from database:
```vbnet
SELECT runs_scored
FROM batting_stats
WHERE player_name = 'Macatacola Vuruna' AND series_name IN ('South Africa vs Australia') AND format = 'Test' AND recent_type = true AND recent_number = 5;
```
Note: Replace `Macatacola Vuruna` with correct name of player."
776,Tell me about the centuries scored by Macatacola Vuruna in South Africa in Australia Test Series.," Output:
{
 ""gender"": ""male"",
 ""department"": [""bat""],
 ""historic_event"": ""yes"",
 ""players_involved"": ""single"",
 ""player_name"": ""Macatacola Vuruna"",
 ""teams_involved"": [""South Africa"", ""Australia""],
 ""format"": [""Test""],
 ""century_scored"": true,
 ""series"": ""Australia Tour of South Africa""
}"
777,What is the batting average of Macatacola Vuruna in Test?," Input:- ""what is the batting average of Macatacola Vuruna in Test?""
Output:- {
  ""gender"": ""male"",
  ""department"": [""bat""],
  ""historic_event"": ""yes"",
  ""players_involved"": ""single"",
  ""player_name"": ""Macatacola Vuruna"",
  ""team_name"": ""NA"",
  ""format"": [""Test""]
}

Note: Since the player name provided (Macatacola Vuruna) is not a real cricket player, I cannot provide an accurate batting average for this player. Please make sure to double-check the spelling and accuracy of the player's name before asking such a question."
759,What are the career batting statistics of Imran Ismail?," Input:- ""What are the career batting statistics of Imran Ismail?""
Output:- {
  ""gender"": ""male"",
  ""department"": [""bat""],
  ""historic_event"": ""no"",
  ""players_involved"": ""single"",
  ""player_name"": ""Imran Ismail"",
  ""team_name"": ""all""
}

This query requires retrieving the career batting statistics of Imran Ismail. To answer this question, we need to search for Imran Ismail's cricket career statistics that include batting data such as runs scored, average, strike rate, and centuries/half-centuries.

To get this information, we can use various cricket APIs or websites like Cricinfo, ESPNcricinfo, etc. We will make a request to one of these APIs or websites and extract the relevant batting statistics for Imran Ismail.

Example response:
```javascript
{
  ""results"": [
    {
      ""name"": "":imran-ismail:"",
      ""type"": ""Player"",
      ""stats"": {
        ""runs"": 1589,
        ""avg"": 24.61,
        ""sr"": 73.68,
        ""centuries"": 16,
        ""halfcenturies"": 30,
        ""highest"": {
          ""score"": 94,
          ""balls"": 64,
          ""overs"": 2.5,
          ""date"": ""2022-04-18""
        }
      }
    }
  ]
}
```
In the example response above, the API has returned Imran Ismail's career batting statistics including runs scored, average, strike rate, centuries/half-centuries, and highest score.

Now that we have the answer, we can return it to the user by sending a JSON response with the extracted data:
```javascript
{
  ""answer"": {
    ""name"": "":imran-ismail:"",
    ""stats"": {
      ""runs"": 1589,
      ""avg"": 24.61,
      ""sr"": 73.68,
      ""centuries"": 16,
      ""halfcenturies"": 30
    }
  }
}
```
In the example above, I have created a `answer` property that contains the extracted data from the API response, which can then be sent back to the user as part of the JSON response.

Finally, once you have the answer, you can return it to the user by sending a JSON response with the extracted data:
```javascript
const express = require('express');
const bodyParser = require('body-parser');
const axios = require('axios');

async function getImranIsmailCareerStats() {
  const apiUrl = 'https://api.example.com/player/:imran-ismail:';

  const expressApp = express();
  expressApp.use(bodyParser.json());
  expressApp.listen(3000);

  axios.defaults.baseURL = 'http://localhost:3000';

  return new Promise((resolve, reject) => {
    axios
      .get(apiUrl)
      .then((response) => {
        const answer = response.data;
        resolve({answer});
      })
      .catch((error) => {
        console.log('Error:', error);
        reject();
      });
  });
}

getImranIsmailCareerStats()
  .then((result) => {
    const expressApp = express();
    expressApp.use(bodyParser.json());
    expressApp.listen(3010, () => {
      console.log('Server listening on port 3010');
      axios.get('https://example.com/api/stats')
        .then((response) => {
          const stats = response.data;
          sendResponse({answer: result.answer, stats});
        })
        .catch((error) => {
          console.log('Error:', error);
          sendResponse({error});
        });
    });
  })
  .catch((error) => {
    console.log('Error:', error);
    process.exit(1);
  });"
760,Tell me about Imran Ismail's total runs scored in Test.," Output:- {
  ""gender"": ""male"",
  ""department"": [""bat""],
  ""historic_event"": ""no"",
  ""players_involved"": ""single"",
  ""player_name"": ""Imran Ismail"",
  ""team_name"": ""NA"",
  ""format"": [""Test""],
  ""total_runs"": null,
  ""best_k"": null
}

I couldn't find the total runs scored by Imran Ismail in Tests as he didn't play any Test match for any team. Therefore, I returned an object with empty or null values."
761,How many centuries has Imran Ismail scored in Test matches?," Output:- {
""gender"": ""male"",
""department"": [""bat""],
""historic_event"": ""no"",
""players_involved"": ""single"",
""player_name"": ""Imran Ismail"",
""team_name"": ""N/A"",
""format"": [""Test""],
""recent_type"": ""no"",
""best_k"": null,
""best_or_worst"": ""total"",
""answer"": 0
}"
762,Give me the details of Imran Ismail's highest Test score.," Output:- {
  ""gender"": ""male"",
  ""department"": [""bat""],
  ""historic_event"": ""no"",
  ""players_involved"": ""single"",
  ""player_name"": ""Imran Ismail"",
  ""team_name"": ""N/A"",
  ""format"": [""Test""],
  ""highest_score"": true
}"
763,What is the strike rate of Imran Ismail in Test matches?," Input:- ""what is the strike rate of Imran Ismail in Test matches?""
Output:- {
  ""gender"": ""male"",
  ""department"": [""ball""],
  ""historic_event"": ""no"",
  ""players_involved"": ""single"",
  ""player_name"": ""Imran Ismail"",
  ""team_name"": ""all"",
  ""format"": [""Test""],
  ""statistic"": [""strike rate""]
}"
764,Show me the number of fours hit by Imran Ismail in the last South Africa in Australia Test Series season.," Input:- ""how many fours did Imran Ismail hit in the last South Africa vs Australia Test Series?""
Output:- {
  ""gender"": ""male"",
  ""department"": [""bat""],
  ""historic_event"": ""yes"",
  ""players_involved"": ""single"",
  ""player_name"": ""Imran Ismail"",
  ""teams_involved"": [""South Africa"", ""Australia""],
  ""team_name"": ""South Africa"",
  ""format"": [""Test""],
  ""recent_type"": ""yes"",
  ""stat"": ""fours""
}

Please note that Imran Ismail is not a well-known cricketer. If the query is about a famous player, then the system should be able to provide more accurate information.

Also, it's essential to mention that the last South Africa vs Australia Test Series did not take place in the recent past (2021 or 2022). Instead, it happened between November 2020 and March 2021."
765,How many sixes did Imran Ismail hit in his last Test match?," Input:- ""how many sixes did Imran Ismail hit in his last Test match?""
Output:- {
  ""gender"": ""male"",
  ""department"": [""ball""],
  ""historic_event"": ""no"",
  ""players_involved"": ""single"",
  ""player_name"": ""Imran Ismail"",
  ""team_name"": ""not applicable"",
  ""format"": [""Test""],
  ""recent_type"": ""yes""
}

This query meets the following conditions:
- It asks for a specific statistic (number of sixes)
- It refers to a specific player (Imran Ismail)
- It specifies the format (Test)
- It requests information about the most recent match (recent\_type = yes)

Therefore, the output will include:
- The department is ""ball"" because the query asks about a sixes which is hit by batsman
- Historic\_event is set to ""no"" since the question does not mention any past event or context.
- Players\_involved is set to ""single"" because it refers to one specific player (Imran Ismail)
- Format is set to ""Test"" as it asks for information related to that format of cricket.
- Recent\_type is set to ""yes"" since the query requests information about the most recent match played by Imran Ismail in Test format."
766,Tell me the average runs scored by Imran Ismail in Test cricket.," Input:- ""what is the average runs scored by Imran Ismail in Test cricket?""
Output:- {
  ""gender"": ""male"",
  ""department"": [""bat""],
  ""historic_event"": ""no"",
  ""players_involved"": ""single"",
  ""player_name"": ""Imran Ismail"",
  ""format"": [""Test""],
  ""statistic"": ""average""
}"
767,What is the highest individual score of Imran Ismail in Test?," Input:- ""What is the highest individual score of Imran Ismail in Test cricket?""
Output:- {
  ""gender"": ""male"",
  ""department"": [""bat""],
  ""historic_event"": ""no"",
  ""players_involved"": ""single"",
  ""player_name"": ""Imran Ismail"",
  ""team_name"": ""not provided"",
  ""format"": [""Test""],
  ""best_k"": 1,
  ""best_or_worst"": ""highest""
}"
768,Give me the career statistics of Imran Ismail in Test.," Input:- ""career statistics of Imran Ismail in Test cricket""
Output:- {
  ""gender"": ""male"",
  ""department"": [""ball""],
  ""historic_event"": ""no"",
  ""players_involved"": ""single"",
  ""player_name"": ""Imran Ismail"",
  ""team_name"": ""all"",
  ""format"": [""Test""],
  ""best_k"": 0,
  ""best_or_worst"": ""none""
}

The above output indicates that the query is valid and asks for the career statistics of Imran Ismail in Test cricket. However, I cannot directly provide this information as I do not have access to real-time cricket data or a database with all player statistics. You would need to look up Imran Ismail's Test cricket statistics from a reliable cricket statistics website or database."
769,What is the most recent century scored by Imran Ismail in Test?," Input:- ""when was the last century scored by Imran Ismail in Test cricket?""
Output:- {
  ""gender"": ""male"",
  ""department"": [""bat""],
  ""historic_event"": ""no"",
  ""players_involved"": ""single"",
  ""player_name"": ""Imran Ismail"",
  ""teams_involved"": [""any""],
  ""team_name"": ""NA"",
  ""format"": [""Test""],
  ""best_k"": 100,
  ""best_or_worst"": ""best""
}"
770,How many fifties has Imran Ismail scored in Test?," Input:- ""how many fifties has Imran Ismail scored in Test?""
Output:- {
  ""gender"": ""male"",
  ""department"": [""bat""],
  ""historic_event"": ""no"",
  ""players_involved"": ""single"",
  ""player_name"": ""Imran Ismail"",
  ""team_name"": ""not mentioned"",
  ""format"": [""Test""],
  ""best_k"": null,
  ""best_or_worst"": ""total""
}

In this example, the query asks for the number of fifties scored by Imran Ismail in Test cricket. The output shows that the department is batting, there is no historic event mentioned, the player involved is single (Imran Ismail), the format is Test cricket, and the request is for a total number of fifties rather than the best or worst one. The 'best_k' field is set to null since we don't need it here."
771,Tell me about the centuries scored by Imran Ismail in Test matches.," Input:- ""list the centuries scored by Imran Ismail in Test matches""
Output:- {
  ""gender"": ""male"",
  ""department"": [""bat""],
  ""historic_event"": ""no"",
  ""players_involved"": ""single"",
  ""player_name"": ""Imran Ismail"",
  ""team_name"": ""all"",
  ""format"": [""Test""],
  ""best_k"": 100,
  ""best_or_worst"": ""best""
}"
772,What is the highest partnership between Imran Ismail and Imran Ismail in Test?," The question is not valid as Imran Ismail is a Pakistani cricketer and has never played Test cricket for India. Therefore, the output would be:

Output:- {
  ""gender"": ""N/A"",
  ""department"": [""N/A""],
  ""historic_event"": ""no"",
  ""players_involved"": ""pair"",
  ""player_name"": [""Imran Ismail"", ""Imran Ismail""],
  ""team_name"": [""N/A""],
  ""format"": [""Test""],
  ""best_k"": ""partnership runs"",
  ""best_or_worst"": ""highest""
}

But since the question is not valid, the output will be an empty object:

Output:- {}"
773,Show me the batting statistics of Imran Ismail in the South Africa in Australia Test Series.," Input:- ""show me the batting statistics of Imran Ismail in South Africa vs Australia Test Series""
Output:- {
  ""gender"": ""male"",
  ""department"": ['bat'],
  ""historic_event"": ""yes"",
  ""players_involved"": ""single"",
  ""player_name"": ""Imran Ismail"",
  ""teams_involved"": [""South Africa"", ""Australia""],
  ""format"": [""Test""],
  ""recent_type"": ""no""
}"
